OBJECTID,ZIPCODE,GlobalID,Shape__Area,Shape__Length
1,90806,71e7e3c9-0d65-4dc5-bac9-eacf95265d45,1805900.74376392,8677.90525450907
2,90814,dcf193ae-a452-4dd8-9dae-64374c2c9aa1,5076988.0703125,18491.819509493
3,90806,9f6a3308-1a34-46c6-9539-af08511f233a,12053335.1835938,20763.2338835314
4,90805,e64965d6-c29f-4c6c-b3a2-d500e37dcf30,27763197.5351563,26554.7077964639
5,90804,11435ceb-5b39-4e03-ad6a-2ad25737f253,8332283.3984375,20741.9726540593
6,90822,04cf2fdc-cfc2-4c4e-a1cd-aeabfd7bb49b,622931.1171875,3122.74368819029
7,90803,0171eea3-349c-4366-b812-69eb7138f420,18507660.3509598,26509.0670245987
8,90807,bc39b34b-1239-402e-b70c-db479a8d92cd,17357479.6210938,26883.6020403717
9,90755,5897070f-9bf2-42c1-afcf-a4205fd68144,8295979.15234375,20493.90240776
10,90815,bff99d45-d8a9-4bcf-957b-59bef6fac60e,25694689.9726563,30392.6630475855
11,90808,33e2ad9e-31ec-47bc-9b79-6ad2937d95aa,30820715.2445173,34862.7323672775
12,90813,71531502-5f12-4b39-8abf-7733cccc3909,13342832.8399734,24361.1049340784
13,90840,5567576a-2d7c-4e47-845f-164e1ee9ce51,1856582.078125,7229.593003482
14,90831,5e62e7ff-175f-42cd-b088-c9e28a9213de,119075.055721372,1446.31211470391
15,90810,acfbe3e9-203d-43bd-9105-bd845b3aab3b,12010159.992609,22841.3965687267
16,90744,dbbf844e-6905-4f6a-aee3-741108645143,11076.98046875,556.603392003615
17,90744,e03acb94-0fe1-495c-b3be-f15927e3845c,2174.75390625,233.328042639217
18,90744,fdee1507-7e1d-48c4-b3d6-4523a9410454,13599.734375,916.680928772831
19,90744,d768f411-3ae4-4e80-b7e2-1587ed6a9919,1327801.61328125,7177.2899334521
20,90806,5845c546-ff0e-49dc-a0a9-d866e025d1b2,25777.84375,1012.57913456427
21,90806,7b484279-06b8-4c26-9e76-a57c05432da1,41931.84375,1207.13671793719
22,90804,cd521d39-2061-4769-b78b-d267cfa63e05,18821.890625,609.999699015192
23,90803,f175f53d-ec5c-42a4-871f-a50df24784c7,71747.15625,1121.49456507052
24,90803,2e2276a3-bec5-41e7-9094-afe30ebfcd60,87184.19140625,1366.43305621858
25,90803,15597c6d-112c-42f4-a342-e9528032a0f6,75582.98828125,1177.41925766472
26,90802,aa535424-ecd6-4e20-a08b-caa65562ce1a,23265218.4062393,61371.3666376535
